"macro_name","body"
"_POSIX_SPIN_LOCKS","#define _POSIX_SPIN_LOCKS 200809L"
"_POSIX_TIMEOUTS","#define _POSIX_TIMEOUTS 200809L"
"_POSIX_SHELL","#define _POSIX_SHELL 1"
"_POSIX_READER_WRITER_LOCKS","#define _POSIX_READER_WRITER_LOCKS 200809L"
"_POSIX_REGEXP","#define _POSIX_REGEXP 1"
"_POSIX_THREAD_CPUTIME","#define _POSIX_THREAD_CPUTIME 0"
"_POSIX_CPUTIME","#define _POSIX_CPUTIME 0"
"_POSIX_SHARED_MEMORY_OBJECTS","#define _POSIX_SHARED_MEMORY_OBJECTS 200809L"
"_LFS64_STDIO","#define _LFS64_STDIO 1"
"_LFS64_LARGEFILE","#define _LFS64_LARGEFILE 1"
"_LFS_LARGEFILE","#define _LFS_LARGEFILE 1"
"_LFS64_ASYNCHRONOUS_IO","#define _LFS64_ASYNCHRONOUS_IO 1"
"_POSIX_PRIORITIZED_IO","#define _POSIX_PRIORITIZED_IO 200809L"
"_LFS_ASYNCHRONOUS_IO","#define _LFS_ASYNCHRONOUS_IO 1"
"_POSIX_ASYNC_IO","#define _POSIX_ASYNC_IO 1"
"_POSIX_ASYNCHRONOUS_IO","#define _POSIX_ASYNCHRONOUS_IO 200809L"
"_POSIX_REALTIME_SIGNALS","#define _POSIX_REALTIME_SIGNALS 200809L"
"_POSIX_SEMAPHORES","#define _POSIX_SEMAPHORES 200809L"
"_POSIX_THREAD_PRIO_PROTECT","#define _POSIX_THREAD_PRIO_PROTECT 200809L"
"_POSIX_THREAD_PRIO_INHERIT","#define _POSIX_THREAD_PRIO_INHERIT 200809L"
"_POSIX_THREAD_ATTR_STACKADDR","#define _POSIX_THREAD_ATTR_STACKADDR 200809L"
"_POSIX_THREAD_ATTR_STACKSIZE","#define _POSIX_THREAD_ATTR_STACKSIZE 200809L"
"_POSIX_THREAD_PRIORITY_SCHEDULING","#define _POSIX_THREAD_PRIORITY_SCHEDULING 200809L"
"_POSIX_THREAD_SAFE_FUNCTIONS","#define _POSIX_THREAD_SAFE_FUNCTIONS 200809L"
"_POSIX_REENTRANT_FUNCTIONS","#define _POSIX_REENTRANT_FUNCTIONS 1"
"_POSIX_THREADS","#define _POSIX_THREADS 200809L"
"_XOPEN_SHM","#define _XOPEN_SHM 1"
"_XOPEN_REALTIME_THREADS","#define _XOPEN_REALTIME_THREADS 1"
"_XOPEN_REALTIME","#define _XOPEN_REALTIME 1"
"_POSIX_NO_TRUNC","#define _POSIX_NO_TRUNC 1"
"_POSIX_VDISABLE","#define _POSIX_VDISABLE '\0'"
"_POSIX_CHOWN_RESTRICTED","#define _POSIX_CHOWN_RESTRICTED 0"
"_POSIX_MEMORY_PROTECTION","#define _POSIX_MEMORY_PROTECTION 200809L"
"_POSIX_MEMLOCK_RANGE","#define _POSIX_MEMLOCK_RANGE 200809L"
"_POSIX_MEMLOCK","#define _POSIX_MEMLOCK 200809L"
"_POSIX_MAPPED_FILES","#define _POSIX_MAPPED_FILES 200809L"
"_POSIX_FSYNC","#define _POSIX_FSYNC 200809L"
"_POSIX_SYNCHRONIZED_IO","#define _POSIX_SYNCHRONIZED_IO 200809L"
"_POSIX_PRIORITY_SCHEDULING","#define _POSIX_PRIORITY_SCHEDULING 200809L"
"_POSIX_SAVED_IDS","#define _POSIX_SAVED_IDS 1"
"_POSIX_JOB_CONTROL","#define _POSIX_JOB_CONTROL 1"
"_BITS_POSIX_OPT_H","#define _BITS_POSIX_OPT_H 1"
"_STRINGFWD_H","#define _STRINGFWD_H 1"
"__LP64_OFF64_LDFLAGS","#define __LP64_OFF64_LDFLAGS ""-m64"""
"__LP64_OFF64_CFLAGS","#define __LP64_OFF64_CFLAGS ""-m64"""
"__ILP32_OFFBIG_LDFLAGS","#define __ILP32_OFFBIG_LDFLAGS ""-m32"""
"__ILP32_OFFBIG_CFLAGS","#define __ILP32_OFFBIG_CFLAGS ""-m32 -D_LARGEFILE_SOURCE -D_FILE_OFFSET_BITS=64"""
"__ILP32_OFF32_LDFLAGS","#define __ILP32_OFF32_LDFLAGS ""-m32"""
"__ILP32_OFF32_CFLAGS","#define __ILP32_OFF32_CFLAGS ""-m32"""
"_XBS5_LP64_OFF64","#define _XBS5_LP64_OFF64 1"
"_POSIX_V6_LP64_OFF64","#define _POSIX_V6_LP64_OFF64 1"
"_POSIX_V7_LP64_OFF64","#define _POSIX_V7_LP64_OFF64 1"
"_XBS5_LPBIG_OFFBIG","#define _XBS5_LPBIG_OFFBIG -1"
"_POSIX_V6_LPBIG_OFFBIG","#define _POSIX_V6_LPBIG_OFFBIG -1"
"_POSIX_V7_LPBIG_OFFBIG","#define _POSIX_V7_LPBIG_OFFBIG -1"
"_CS_PATH","#define _CS_PATH _CS_PATH"
"_CS_V6_WIDTH_RESTRICTED_ENVS","#define _CS_V6_WIDTH_RESTRICTED_ENVS _CS_V6_WIDTH_RESTRICTED_ENVS"
"_CS_GNU_LIBC_VERSION","#define _CS_GNU_LIBC_VERSION _CS_GNU_LIBC_VERSION"
"_CS_GNU_LIBPTHREAD_VERSION","#define _CS_GNU_LIBPTHREAD_VERSION _CS_GNU_LIBPTHREAD_VERSION"
"_CS_V5_WIDTH_RESTRICTED_ENVS","#define _CS_V5_WIDTH_RESTRICTED_ENVS _CS_V5_WIDTH_RESTRICTED_ENVS"
"_CS_V7_WIDTH_RESTRICTED_ENVS","#define _CS_V7_WIDTH_RESTRICTED_ENVS _CS_V7_WIDTH_RESTRICTED_ENVS"
"_CS_LFS_CFLAGS","#define _CS_LFS_CFLAGS _CS_LFS_CFLAGS"
"_CS_LFS_LDFLAGS","#define _CS_LFS_LDFLAGS _CS_LFS_LDFLAGS"
"_CS_LFS_LIBS","#define _CS_LFS_LIBS _CS_LFS_LIBS"
"_CS_LFS_LINTFLAGS","#define _CS_LFS_LINTFLAGS _CS_LFS_LINTFLAGS"
"_CS_LFS64_CFLAGS","#define _CS_LFS64_CFLAGS _CS_LFS64_CFLAGS"
"_CS_LFS64_LDFLAGS","#define _CS_LFS64_LDFLAGS _CS_LFS64_LDFLAGS"
"_CS_LFS64_LIBS","#define _CS_LFS64_LIBS _CS_LFS64_LIBS"
"_CS_LFS64_LINTFLAGS","#define _CS_LFS64_LINTFLAGS _CS_LFS64_LINTFLAGS"
"_CS_XBS5_ILP32_OFF32_CFLAGS","#define _CS_XBS5_ILP32_OFF32_CFLAGS _CS_XBS5_ILP32_OFF32_CFLAGS"
"_CS_XBS5_ILP32_OFF32_LDFLAGS","#define _CS_XBS5_ILP32_OFF32_LDFLAGS _CS_XBS5_ILP32_OFF32_LDFLAGS"
"_CS_XBS5_ILP32_OFF32_LIBS","#define _CS_XBS5_ILP32_OFF32_LIBS _CS_XBS5_ILP32_OFF32_LIBS"
"_CS_XBS5_ILP32_OFF32_LINTFLAGS","#define _CS_XBS5_ILP32_OFF32_LINTFLAGS _CS_XBS5_ILP32_OFF32_LINTFLAGS"
"_CS_XBS5_ILP32_OFFBIG_CFLAGS","#define _CS_XBS5_ILP32_OFFBIG_CFLAGS _CS_XBS5_ILP32_OFFBIG_CFLAGS"
"_CS_XBS5_ILP32_OFFBIG_LDFLAGS","#define _CS_XBS5_ILP32_OFFBIG_LDFLAGS _CS_XBS5_ILP32_OFFBIG_LDFLAGS"
"_CS_XBS5_ILP32_OFFBIG_LIBS","#define _CS_XBS5_ILP32_OFFBIG_LIBS _CS_XBS5_ILP32_OFFBIG_LIBS"
"_CS_XBS5_ILP32_OFFBIG_LINTFLAGS","#define _CS_XBS5_ILP32_OFFBIG_LINTFLAGS _CS_XBS5_ILP32_OFFBIG_LINTFLAGS"
"_CS_XBS5_LP64_OFF64_CFLAGS","#define _CS_XBS5_LP64_OFF64_CFLAGS _CS_XBS5_LP64_OFF64_CFLAGS"
"_CS_XBS5_LP64_OFF64_LDFLAGS","#define _CS_XBS5_LP64_OFF64_LDFLAGS _CS_XBS5_LP64_OFF64_LDFLAGS"
"_CS_XBS5_LP64_OFF64_LIBS","#define _CS_XBS5_LP64_OFF64_LIBS _CS_XBS5_LP64_OFF64_LIBS"
"_CS_XBS5_LP64_OFF64_LINTFLAGS","#define _CS_XBS5_LP64_OFF64_LINTFLAGS _CS_XBS5_LP64_OFF64_LINTFLAGS"
"_CS_XBS5_LPBIG_OFFBIG_CFLAGS","#define _CS_XBS5_LPBIG_OFFBIG_CFLAGS _CS_XBS5_LPBIG_OFFBIG_CFLAGS"
"_CS_XBS5_LPBIG_OFFBIG_LDFLAGS","#define _CS_XBS5_LPBIG_OFFBIG_LDFLAGS _CS_XBS5_LPBIG_OFFBIG_LDFLAGS"
"_CS_XBS5_LPBIG_OFFBIG_LIBS","#define _CS_XBS5_LPBIG_OFFBIG_LIBS _CS_XBS5_LPBIG_OFFBIG_LIBS"
"_CS_XBS5_LPBIG_OFFBIG_LINTFLAGS","#define _CS_XBS5_LPBIG_OFFBIG_LINTFLAGS _CS_XBS5_LPBIG_OFFBIG_LINTFLAGS"
"_CS_POSIX_V6_ILP32_OFF32_CFLAGS","#define _CS_POSIX_V6_ILP32_OFF32_CFLAGS _CS_POSIX_V6_ILP32_OFF32_CFLAGS"
"_CS_POSIX_V6_ILP32_OFF32_LDFLAGS","#define _CS_POSIX_V6_ILP32_OFF32_LDFLAGS _CS_POSIX_V6_ILP32_OFF32_LDFLAGS"
"_CS_POSIX_V6_ILP32_OFF32_LIBS","#define _CS_POSIX_V6_ILP32_OFF32_LIBS _CS_POSIX_V6_ILP32_OFF32_LIBS"
"_CS_POSIX_V6_ILP32_OFF32_LINTFLAGS","#define _CS_POSIX_V6_ILP32_OFF32_LINTFLAGS _CS_POSIX_V6_ILP32_OFF32_LINTFLAGS"
"_CS_POSIX_V6_ILP32_OFFBIG_CFLAGS","#define _CS_POSIX_V6_ILP32_OFFBIG_CFLAGS _CS_POSIX_V6_ILP32_OFFBIG_CFLAGS"
"_CS_POSIX_V6_ILP32_OFFBIG_LDFLAGS","#define _CS_POSIX_V6_ILP32_OFFBIG_LDFLAGS _CS_POSIX_V6_ILP32_OFFBIG_LDFLAGS"
"_CS_POSIX_V6_ILP32_OFFBIG_LIBS","#define _CS_POSIX_V6_ILP32_OFFBIG_LIBS _CS_POSIX_V6_ILP32_OFFBIG_LIBS"
"_CS_POSIX_V6_ILP32_OFFBIG_LINTFLAGS","#define _CS_POSIX_V6_ILP32_OFFBIG_LINTFLAGS _CS_POSIX_V6_ILP32_OFFBIG_LINTFLAGS"
"_CS_POSIX_V6_LP64_OFF64_CFLAGS","#define _CS_POSIX_V6_LP64_OFF64_CFLAGS _CS_POSIX_V6_LP64_OFF64_CFLAGS"
"_CS_POSIX_V6_LP64_OFF64_LDFLAGS","#define _CS_POSIX_V6_LP64_OFF64_LDFLAGS _CS_POSIX_V6_LP64_OFF64_LDFLAGS"
"_CS_POSIX_V6_LP64_OFF64_LIBS","#define _CS_POSIX_V6_LP64_OFF64_LIBS _CS_POSIX_V6_LP64_OFF64_LIBS"
"_CS_POSIX_V6_LP64_OFF64_LINTFLAGS","#define _CS_POSIX_V6_LP64_OFF64_LINTFLAGS _CS_POSIX_V6_LP64_OFF64_LINTFLAGS"
"_CS_POSIX_V6_LPBIG_OFFBIG_CFLAGS","#define _CS_POSIX_V6_LPBIG_OFFBIG_CFLAGS _CS_POSIX_V6_LPBIG_OFFBIG_CFLAGS"
"_CS_POSIX_V6_LPBIG_OFFBIG_LDFLAGS","#define _CS_POSIX_V6_LPBIG_OFFBIG_LDFLAGS _CS_POSIX_V6_LPBIG_OFFBIG_LDFLAGS"
"_CS_POSIX_V6_LPBIG_OFFBIG_LIBS","#define _CS_POSIX_V6_LPBIG_OFFBIG_LIBS _CS_POSIX_V6_LPBIG_OFFBIG_LIBS"
"_CS_POSIX_V6_LPBIG_OFFBIG_LINTFLAGS","#define _CS_POSIX_V6_LPBIG_OFFBIG_LINTFLAGS _CS_POSIX_V6_LPBIG_OFFBIG_LINTFLAGS"
"_CS_POSIX_V7_ILP32_OFF32_CFLAGS","#define _CS_POSIX_V7_ILP32_OFF32_CFLAGS _CS_POSIX_V7_ILP32_OFF32_CFLAGS"
"_CS_POSIX_V7_ILP32_OFF32_LDFLAGS","#define _CS_POSIX_V7_ILP32_OFF32_LDFLAGS _CS_POSIX_V7_ILP32_OFF32_LDFLAGS"
"_CS_POSIX_V7_ILP32_OFF32_LIBS","#define _CS_POSIX_V7_ILP32_OFF32_LIBS _CS_POSIX_V7_ILP32_OFF32_LIBS"
"_CS_POSIX_V7_ILP32_OFF32_LINTFLAGS","#define _CS_POSIX_V7_ILP32_OFF32_LINTFLAGS _CS_POSIX_V7_ILP32_OFF32_LINTFLAGS"
"_CS_POSIX_V7_ILP32_OFFBIG_CFLAGS","#define _CS_POSIX_V7_ILP32_OFFBIG_CFLAGS _CS_POSIX_V7_ILP32_OFFBIG_CFLAGS"
"_CS_POSIX_V7_ILP32_OFFBIG_LDFLAGS","#define _CS_POSIX_V7_ILP32_OFFBIG_LDFLAGS _CS_POSIX_V7_ILP32_OFFBIG_LDFLAGS"
"_CS_POSIX_V7_ILP32_OFFBIG_LIBS","#define _CS_POSIX_V7_ILP32_OFFBIG_LIBS _CS_POSIX_V7_ILP32_OFFBIG_LIBS"
"_CS_POSIX_V7_ILP32_OFFBIG_LINTFLAGS","#define _CS_POSIX_V7_ILP32_OFFBIG_LINTFLAGS _CS_POSIX_V7_ILP32_OFFBIG_LINTFLAGS"
"_CS_POSIX_V7_LP64_OFF64_CFLAGS","#define _CS_POSIX_V7_LP64_OFF64_CFLAGS _CS_POSIX_V7_LP64_OFF64_CFLAGS"
"_CS_POSIX_V7_LP64_OFF64_LDFLAGS","#define _CS_POSIX_V7_LP64_OFF64_LDFLAGS _CS_POSIX_V7_LP64_OFF64_LDFLAGS"
"_CS_POSIX_V7_LP64_OFF64_LIBS","#define _CS_POSIX_V7_LP64_OFF64_LIBS _CS_POSIX_V7_LP64_OFF64_LIBS"
"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS","#define _CS_POSIX_V7_LP64_OFF64_LINTFLAGS _CS_POSIX_V7_LP64_OFF64_LINTFLAGS"
"_CS_POSIX_V7_LPBIG_OFFBIG_CFLAGS","#define _CS_POSIX_V7_LPBIG_OFFBIG_CFLAGS _CS_POSIX_V7_LPBIG_OFFBIG_CFLAGS"
"_CS_POSIX_V7_LPBIG_OFFBIG_LDFLAGS","#define _CS_POSIX_V7_LPBIG_OFFBIG_LDFLAGS _CS_POSIX_V7_LPBIG_OFFBIG_LDFLAGS"
"_CS_POSIX_V7_LPBIG_OFFBIG_LIBS","#define _CS_POSIX_V7_LPBIG_OFFBIG_LIBS _CS_POSIX_V7_LPBIG_OFFBIG_LIBS"
"_CS_POSIX_V7_LPBIG_OFFBIG_LINTFLAGS","#define _CS_POSIX_V7_LPBIG_OFFBIG_LINTFLAGS _CS_POSIX_V7_LPBIG_OFFBIG_LINTFLAGS"
"_CS_V6_ENV","#define _CS_V6_ENV _CS_V6_ENV"
"_CS_V7_ENV","#define _CS_V7_ENV _CS_V7_ENV"
"_SC_ARG_MAX","#define _SC_ARG_MAX _SC_ARG_MAX"
"_SC_CHILD_MAX","#define _SC_CHILD_MAX _SC_CHILD_MAX"
"_SC_CLK_TCK","#define _SC_CLK_TCK _SC_CLK_TCK"
"_SC_NGROUPS_MAX","#define _SC_NGROUPS_MAX _SC_NGROUPS_MAX"
"_SC_OPEN_MAX","#define _SC_OPEN_MAX _SC_OPEN_MAX"
"_SC_STREAM_MAX","#define _SC_STREAM_MAX _SC_STREAM_MAX"
"_SC_TZNAME_MAX","#define _SC_TZNAME_MAX _SC_TZNAME_MAX"
"_SC_JOB_CONTROL","#define _SC_JOB_CONTROL _SC_JOB_CONTROL"
"_SC_SAVED_IDS","#define _SC_SAVED_IDS _SC_SAVED_IDS"
"_SC_REALTIME_SIGNALS","#define _SC_REALTIME_SIGNALS _SC_REALTIME_SIGNALS"
"_SC_PRIORITY_SCHEDULING","#define _SC_PRIORITY_SCHEDULING _SC_PRIORITY_SCHEDULING"
"_SC_TIMERS","#define _SC_TIMERS _SC_TIMERS"
"_SC_ASYNCHRONOUS_IO","#define _SC_ASYNCHRONOUS_IO _SC_ASYNCHRONOUS_IO"
"_SC_PRIORITIZED_IO","#define _SC_PRIORITIZED_IO _SC_PRIORITIZED_IO"
"_SC_SYNCHRONIZED_IO","#define _SC_SYNCHRONIZED_IO _SC_SYNCHRONIZED_IO"
"_SC_FSYNC","#define _SC_FSYNC _SC_FSYNC"
"_SC_MAPPED_FILES","#define _SC_MAPPED_FILES _SC_MAPPED_FILES"
"_SC_MEMLOCK","#define _SC_MEMLOCK _SC_MEMLOCK"
"_SC_MEMLOCK_RANGE","#define _SC_MEMLOCK_RANGE _SC_MEMLOCK_RANGE"
"_SC_MEMORY_PROTECTION","#define _SC_MEMORY_PROTECTION _SC_MEMORY_PROTECTION"
"_SC_MESSAGE_PASSING","#define _SC_MESSAGE_PASSING _SC_MESSAGE_PASSING"
"_SC_SEMAPHORES","#define _SC_SEMAPHORES _SC_SEMAPHORES"
"_SC_SHARED_MEMORY_OBJECTS","#define _SC_SHARED_MEMORY_OBJECTS _SC_SHARED_MEMORY_OBJECTS"
"_SC_AIO_LISTIO_MAX","#define _SC_AIO_LISTIO_MAX _SC_AIO_LISTIO_MAX"
"_SC_AIO_MAX","#define _SC_AIO_MAX _SC_AIO_MAX"
"_SC_AIO_PRIO_DELTA_MAX","#define _SC_AIO_PRIO_DELTA_MAX _SC_AIO_PRIO_DELTA_MAX"
"_SC_DELAYTIMER_MAX","#define _SC_DELAYTIMER_MAX _SC_DELAYTIMER_MAX"
"_SC_MQ_OPEN_MAX","#define _SC_MQ_OPEN_MAX _SC_MQ_OPEN_MAX"
"_SC_MQ_PRIO_MAX","#define _SC_MQ_PRIO_MAX _SC_MQ_PRIO_MAX"
"_SC_VERSION","#define _SC_VERSION _SC_VERSION"
"_SC_PAGESIZE","#define _SC_PAGESIZE _SC_PAGESIZE"
"_SC_RTSIG_MAX","#define _SC_RTSIG_MAX _SC_RTSIG_MAX"
"_SC_SEM_NSEMS_MAX","#define _SC_SEM_NSEMS_MAX _SC_SEM_NSEMS_MAX"
"_SC_SEM_VALUE_MAX","#define _SC_SEM_VALUE_MAX _SC_SEM_VALUE_MAX"
"_SC_SIGQUEUE_MAX","#define _SC_SIGQUEUE_MAX _SC_SIGQUEUE_MAX"
"_SC_TIMER_MAX","#define _SC_TIMER_MAX _SC_TIMER_MAX"
"_SC_BC_BASE_MAX","#define _SC_BC_BASE_MAX _SC_BC_BASE_MAX"
"_SC_BC_DIM_MAX","#define _SC_BC_DIM_MAX _SC_BC_DIM_MAX"
"_SC_BC_SCALE_MAX","#define _SC_BC_SCALE_MAX _SC_BC_SCALE_MAX"
"_SC_BC_STRING_MAX","#define _SC_BC_STRING_MAX _SC_BC_STRING_MAX"
"_SC_COLL_WEIGHTS_MAX","#define _SC_COLL_WEIGHTS_MAX _SC_COLL_WEIGHTS_MAX"
"_SC_EQUIV_CLASS_MAX","#define _SC_EQUIV_CLASS_MAX _SC_EQUIV_CLASS_MAX"
"_SC_EXPR_NEST_MAX","#define _SC_EXPR_NEST_MAX _SC_EXPR_NEST_MAX"
"_SC_LINE_MAX","#define _SC_LINE_MAX _SC_LINE_MAX"
"_SC_RE_DUP_MAX","#define _SC_RE_DUP_MAX _SC_RE_DUP_MAX"
"_SC_CHARCLASS_NAME_MAX","#define _SC_CHARCLASS_NAME_MAX _SC_CHARCLASS_NAME_MAX"
"_SC_2_VERSION","#define _SC_2_VERSION _SC_2_VERSION"
"_SC_2_C_BIND","#define _SC_2_C_BIND _SC_2_C_BIND"
"_SC_2_C_DEV","#define _SC_2_C_DEV _SC_2_C_DEV"
"_SC_2_FORT_DEV","#define _SC_2_FORT_DEV _SC_2_FORT_DEV"
"_SC_2_FORT_RUN","#define _SC_2_FORT_RUN _SC_2_FORT_RUN"
"_SC_2_SW_DEV","#define _SC_2_SW_DEV _SC_2_SW_DEV"
"_SC_2_LOCALEDEF","#define _SC_2_LOCALEDEF _SC_2_LOCALEDEF"
"_SC_PII","#define _SC_PII _SC_PII"
"_SC_PII_XTI","#define _SC_PII_XTI _SC_PII_XTI"
"_SC_PII_SOCKET","#define _SC_PII_SOCKET _SC_PII_SOCKET"
"_SC_PII_INTERNET","#define _SC_PII_INTERNET _SC_PII_INTERNET"
"_SC_PII_OSI","#define _SC_PII_OSI _SC_PII_OSI"
"_SC_POLL","#define _SC_POLL _SC_POLL"
"_SC_SELECT","#define _SC_SELECT _SC_SELECT"
"_SC_UIO_MAXIOV","#define _SC_UIO_MAXIOV _SC_UIO_MAXIOV"
"_SC_IOV_MAX","#define _SC_IOV_MAX _SC_IOV_MAX"
"_SC_PII_INTERNET_STREAM","#define _SC_PII_INTERNET_STREAM _SC_PII_INTERNET_STREAM"
"_SC_PII_INTERNET_DGRAM","#define _SC_PII_INTERNET_DGRAM _SC_PII_INTERNET_DGRAM"
"_SC_PII_OSI_COTS","#define _SC_PII_OSI_COTS _SC_PII_OSI_COTS"
"_SC_PII_OSI_CLTS","#define _SC_PII_OSI_CLTS _SC_PII_OSI_CLTS"
"_SC_PII_OSI_M","#define _SC_PII_OSI_M _SC_PII_OSI_M"
"_SC_T_IOV_MAX","#define _SC_T_IOV_MAX _SC_T_IOV_MAX"
"_SC_THREADS","#define _SC_THREADS _SC_THREADS"
"_SC_THREAD_SAFE_FUNCTIONS","#define _SC_THREAD_SAFE_FUNCTIONS _SC_THREAD_SAFE_FUNCTIONS"
"_SC_GETGR_R_SIZE_MAX","#define _SC_GETGR_R_SIZE_MAX _SC_GETGR_R_SIZE_MAX"
"_SC_GETPW_R_SIZE_MAX","#define _SC_GETPW_R_SIZE_MAX _SC_GETPW_R_SIZE_MAX"
"_SC_LOGIN_NAME_MAX","#define _SC_LOGIN_NAME_MAX _SC_LOGIN_NAME_MAX"
"_SC_TTY_NAME_MAX","#define _SC_TTY_NAME_MAX _SC_TTY_NAME_MAX"
"_SC_THREAD_DESTRUCTOR_ITERATIONS","#define _SC_THREAD_DESTRUCTOR_ITERATIONS _SC_THREAD_DESTRUCTOR_ITERATIONS"
"_SC_THREAD_KEYS_MAX","#define _SC_THREAD_KEYS_MAX _SC_THREAD_KEYS_MAX"
"_SC_THREAD_STACK_MIN","#define _SC_THREAD_STACK_MIN _SC_THREAD_STACK_MIN"
"_SC_THREAD_THREADS_MAX","#define _SC_THREAD_THREADS_MAX _SC_THREAD_THREADS_MAX"
"_SC_THREAD_ATTR_STACKADDR","#define _SC_THREAD_ATTR_STACKADDR _SC_THREAD_ATTR_STACKADDR"
"_SC_THREAD_ATTR_STACKSIZE","#define _SC_THREAD_ATTR_STACKSIZE _SC_THREAD_ATTR_STACKSIZE"
"_SC_THREAD_PRIORITY_SCHEDULING","#define _SC_THREAD_PRIORITY_SCHEDULING _SC_THREAD_PRIORITY_SCHEDULING"
"_SC_THREAD_PRIO_INHERIT","#define _SC_THREAD_PRIO_INHERIT _SC_THREAD_PRIO_INHERIT"
"_SC_THREAD_PRIO_PROTECT","#define _SC_THREAD_PRIO_PROTECT _SC_THREAD_PRIO_PROTECT"
"_SC_THREAD_PROCESS_SHARED","#define _SC_THREAD_PROCESS_SHARED _SC_THREAD_PROCESS_SHARED"
"_SC_NPROCESSORS_CONF","#define _SC_NPROCESSORS_CONF _SC_NPROCESSORS_CONF"
"_SC_NPROCESSORS_ONLN","#define _SC_NPROCESSORS_ONLN _SC_NPROCESSORS_ONLN"
"_SC_PHYS_PAGES","#define _SC_PHYS_PAGES _SC_PHYS_PAGES"
"_SC_AVPHYS_PAGES","#define _SC_AVPHYS_PAGES _SC_AVPHYS_PAGES"
"_SC_ATEXIT_MAX","#define _SC_ATEXIT_MAX _SC_ATEXIT_MAX"
"_SC_PASS_MAX","#define _SC_PASS_MAX _SC_PASS_MAX"
"_SC_XOPEN_VERSION","#define _SC_XOPEN_VERSION _SC_XOPEN_VERSION"
"_SC_XOPEN_XCU_VERSION","#define _SC_XOPEN_XCU_VERSION _SC_XOPEN_XCU_VERSION"
"_SC_XOPEN_UNIX","#define _SC_XOPEN_UNIX _SC_XOPEN_UNIX"
"_SC_XOPEN_CRYPT","#define _SC_XOPEN_CRYPT _SC_XOPEN_CRYPT"
"_SC_XOPEN_ENH_I18N","#define _SC_XOPEN_ENH_I18N _SC_XOPEN_ENH_I18N"
"_SC_XOPEN_SHM","#define _SC_XOPEN_SHM _SC_XOPEN_SHM"
"_SC_2_CHAR_TERM","#define _SC_2_CHAR_TERM _SC_2_CHAR_TERM"
"_SC_2_C_VERSION","#define _SC_2_C_VERSION _SC_2_C_VERSION"
"_SC_2_UPE","#define _SC_2_UPE _SC_2_UPE"
"_SC_XOPEN_XPG2","#define _SC_XOPEN_XPG2 _SC_XOPEN_XPG2"
"_SC_XOPEN_XPG3","#define _SC_XOPEN_XPG3 _SC_XOPEN_XPG3"
"_SC_XOPEN_XPG4","#define _SC_XOPEN_XPG4 _SC_XOPEN_XPG4"
"_SC_CHAR_BIT","#define _SC_CHAR_BIT _SC_CHAR_BIT"
"_SC_CHAR_MAX","#define _SC_CHAR_MAX _SC_CHAR_MAX"
"_SC_CHAR_MIN","#define _SC_CHAR_MIN _SC_CHAR_MIN"
"_SC_INT_MAX","#define _SC_INT_MAX _SC_INT_MAX"
"_SC_INT_MIN","#define _SC_INT_MIN _SC_INT_MIN"
"_SC_LONG_BIT","#define _SC_LONG_BIT _SC_LONG_BIT"
"_SC_WORD_BIT","#define _SC_WORD_BIT _SC_WORD_BIT"
"_SC_MB_LEN_MAX","#define _SC_MB_LEN_MAX _SC_MB_LEN_MAX"
"_SC_NZERO","#define _SC_NZERO _SC_NZERO"
"_SC_SSIZE_MAX","#define _SC_SSIZE_MAX _SC_SSIZE_MAX"
"_SC_SCHAR_MAX","#define _SC_SCHAR_MAX _SC_SCHAR_MAX"
"_SC_SCHAR_MIN","#define _SC_SCHAR_MIN _SC_SCHAR_MIN"
"_SC_SHRT_MAX","#define _SC_SHRT_MAX _SC_SHRT_MAX"
"_SC_SHRT_MIN","#define _SC_SHRT_MIN _SC_SHRT_MIN"
"_SC_UCHAR_MAX","#define _SC_UCHAR_MAX _SC_UCHAR_MAX"
"_SC_UINT_MAX","#define _SC_UINT_MAX _SC_UINT_MAX"
"_SC_ULONG_MAX","#define _SC_ULONG_MAX _SC_ULONG_MAX"
"_SC_USHRT_MAX","#define _SC_USHRT_MAX _SC_USHRT_MAX"
"_SC_NL_ARGMAX","#define _SC_NL_ARGMAX _SC_NL_ARGMAX"
"_SC_NL_LANGMAX","#define _SC_NL_LANGMAX _SC_NL_LANGMAX"
"_SC_NL_MSGMAX","#define _SC_NL_MSGMAX _SC_NL_MSGMAX"
"_SC_NL_NMAX","#define _SC_NL_NMAX _SC_NL_NMAX"
"_SC_NL_SETMAX","#define _SC_NL_SETMAX _SC_NL_SETMAX"
"_SC_NL_TEXTMAX","#define _SC_NL_TEXTMAX _SC_NL_TEXTMAX"
"_SC_XBS5_ILP32_OFF32","#define _SC_XBS5_ILP32_OFF32 _SC_XBS5_ILP32_OFF32"
"_SC_XBS5_ILP32_OFFBIG","#define _SC_XBS5_ILP32_OFFBIG _SC_XBS5_ILP32_OFFBIG"
"_SC_XBS5_LP64_OFF64","#define _SC_XBS5_LP64_OFF64 _SC_XBS5_LP64_OFF64"
"_SC_XBS5_LPBIG_OFFBIG","#define _SC_XBS5_LPBIG_OFFBIG _SC_XBS5_LPBIG_OFFBIG"
"_SC_XOPEN_LEGACY","#define _SC_XOPEN_LEGACY _SC_XOPEN_LEGACY"
